word,valance,arousal,valence_scaled,arousal_scaled
admiration,0.969,0.583,0.938,0.166
amusement,0.929,0.837,0.858,0.674
anger,0.167,0.865,-0.666,0.73
annoyance,0.167,0.718,-0.666,0.436
approval,0.854,0.46,0.708,-0.08
caring,0.635,0.469,0.27,-0.062
confusion,0.255,0.667,-0.49,0.334
curiosity,0.75,0.755,0.5,0.51
desire,0.896,0.692,0.792,0.384
disappointment,0.115,0.49,-0.77,-0.02
disapproval,0.085,0.551,-0.83,0.102
disgust,0.052,0.775,-0.896,0.55
embarrassment,0.143,0.685,-0.714,0.37
excitement,0.896,0.684,0.792,0.368
fear,0.073,0.84,-0.854,0.68
gratitude,0.885,0.441,0.77,-0.118
grief,0.07,0.64,-0.86,0.28
joy,0.98,0.824,0.96,0.648
love,1,0.519,1,0.038
nervousness,0.163,0.915,-0.674,0.83
optimism,0.949,0.565,0.898,0.13
pride,0.729,0.634,0.458,0.268
realization,0.554,0.51,0.108,0.02
relief,0.844,0.278,0.688,-0.444
remorse,0.103,0.673,-0.794,0.346
sadness,0.052,0.288,-0.896,-0.424
surprise,0.875,0.875,0.75,0.75
neutral,0.469,0.184,-0.062,-0.632